"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Apr 27 00:00:39 GMT 2025","Sun Apr 27 00:00:39 GMT 2025","236","test.routers","securities","TestTokenRouter","","","test_login_password_fail","Check that 401 status code was returned when the password was wrong."
"passed","Sun Apr 27 00:00:38 GMT 2025","Sun Apr 27 00:00:38 GMT 2025","3","test.routers","customers","TestCustomersRouter","","","test_update_customer_wo_login[customer3]","Check to update a user without logging it's not posible.
        Args:
            customer: schema
            client: testClient
            login_admin: authorization
        "
"passed","Sun Apr 27 00:00:36 GMT 2025","Sun Apr 27 00:00:37 GMT 2025","241","test.routers","customers","TestCustomersRouter","","","test_get_customer_login[customer3-login_user]","Check that it returns data from a customer if the user, be it a
        basic user or admin, is logged in.
        "
"passed","Sun Apr 27 00:00:38 GMT 2025","Sun Apr 27 00:00:38 GMT 2025","264","test.routers","customers","TestCustomersRouter","","","test_create_delete_customer[login_user]","Check to create a user. After check to delete the created user.
        Args:
            new_user: schema
            client: testClient
            login_admin: authorization
        "
"passed","Sun Apr 27 00:00:36 GMT 2025","Sun Apr 27 00:00:36 GMT 2025","3","test.routers","customers","TestCustomersRouter","","","test_get_customer_wo_login[customer3]","Check that you have to be logged in to retrieve a customer's data."
"passed","Sun Apr 27 00:00:38 GMT 2025","Sun Apr 27 00:00:38 GMT 2025","15","test.routers","main","","","","test_read_main","Test main endpoint"
"passed","Sun Apr 27 00:00:38 GMT 2025","Sun Apr 27 00:00:38 GMT 2025","249","test.routers","customers","TestCustomersRouter","","","test_create_delete_customer[login_admin]","Check to create a user. After check to delete the created user.
        Args:
            new_user: schema
            client: testClient
            login_admin: authorization
        "
"passed","Sun Apr 27 00:00:40 GMT 2025","Sun Apr 27 00:00:40 GMT 2025","6","test.routers","users","TestUsersRouter","","","test_get_user","Find a user.
        Args:
            user: schema
            client: testClient
            login_admin: authorization
        "
"passed","Sun Apr 27 00:00:40 GMT 2025","Sun Apr 27 00:00:40 GMT 2025","7","test.routers","users","TestUsersRouter","","","test_get_admin","Find a admin user.
        Args:
            admin: schema
            client: testClient
            login_admin: authorization
        "
"passed","Sun Apr 27 00:00:38 GMT 2025","Sun Apr 27 00:00:39 GMT 2025","236","test.routers","securities","TestTokenRouter","","","test_login_admin","Check that an access_token is returned when logging in and
        that it is of type bearer.
        "
