"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Find customer by name and surname.
        Args:
            test_db_session: Session
        ","3","test_get_by_name_surname","test.controllers","Sun May 03 14:10:50 UTC 2026","passed","Sun May 03 14:10:50 UTC 2026","TestCustomerController","customer","",""
"Check that 401 status code was returned when the user doesn't exist.","53","test_login_non_user","test.routers","Sun May 03 14:10:57 UTC 2026","passed","Sun May 03 14:10:57 UTC 2026","TestTokenRouter","test_securities","",""
"Check to create a user. After check to delete the created user.
        Args:
            new_user: schema
            client: testClient
            login_admin: authorization
        ","445","test_create_delete_customer[login_admin]","test.routers","Sun May 03 14:10:54 UTC 2026","passed","Sun May 03 14:10:55 UTC 2026","TestCustomersRouter","test_customers","",""
"Find a admin user.
        Args:
            admin: schema
            client: testClient
            login_admin: authorization
        ","32","test_get_admin","test.routers","Sun May 03 14:10:57 UTC 2026","passed","Sun May 03 14:10:57 UTC 2026","TestUsersRouter","test_users","",""
"Check to create a user. After check to delete the created user.
        Args:
            new_user: schema
            client: testClient
            login_admin: authorization
        ","441","test_create_delete_customer[login_user]","test.routers","Sun May 03 14:10:55 UTC 2026","passed","Sun May 03 14:10:55 UTC 2026","TestCustomersRouter","test_customers","",""
"Check that it returns data from a customer if the user, be it a
        basic user or admin, is logged in.
        ","334","test_get_customer_login[customer1-login_admin]","test.routers","Sun May 03 14:10:51 UTC 2026","passed","Sun May 03 14:10:51 UTC 2026","TestCustomersRouter","test_customers","",""
"Check to update a user.
        Args:
            customer: schema
            client: testClient
            login_admin: authorization
        ","469","test_update_customer[customer1-login_user]","test.routers","Sun May 03 14:10:53 UTC 2026","passed","Sun May 03 14:10:53 UTC 2026","TestCustomersRouter","test_customers","",""
"Check that an access_token is returned when logging in and
        that it is of type bearer.
        ","307","test_login_user","test.routers","Sun May 03 14:10:56 UTC 2026","passed","Sun May 03 14:10:56 UTC 2026","TestTokenRouter","test_securities","",""
"Check that you can access the list of customers as an admin user.","52","test_customers_login_admin","test.routers","Sun May 03 14:10:51 UTC 2026","passed","Sun May 03 14:10:51 UTC 2026","TestCustomersRouter","test_customers","",""
"Check that without being logged in you cannot access /customers.","7","test_customers_wo_login","test.routers","Sun May 03 14:10:50 UTC 2026","passed","Sun May 03 14:10:50 UTC 2026","TestCustomersRouter","test_customers","",""
